
Task	Done	Delay	Skip	Start		Range Start	Range End	Interval		Is-Due	Last Done	Effort	Start Task At	Earliest Completed	Sync Due		Archive
Dry Dark towels	FALSE		FALSE	FALSE				0		FALSE							FALSE
Fold Dark towels	FALSE		FALSE	FALSE				0		FALSE							FALSE
Put away Dark towels	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash bath mats	FALSE		FALSE	FALSE				90!		TRUE	6/13			6/29/2026			FALSE
Dry bath mats	FALSE		FALSE	FALSE				90!		TRUE	6/13			6/29/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Cats	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Check cat bedding needs	FALSE		FALSE	FALSE				60!		FALSE	8/4			5/17/2026			FALSE
Wash cat bedding	FALSE		FALSE	FALSE				0		FALSE	8/4			5/17/2026			FALSE
Dry cat bedding	FALSE		FALSE	FALSE				0		FALSE	8/4			7/13/2026			FALSE
Store cat bedding	FALSE		FALSE	FALSE				0		FALSE	8/4			7/13/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash curtains	FALSE		FALSE	FALSE				0		FALSE							FALSE
Air Dry Curtains	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Pee/Poop/Vomit Load	FALSE		FALSE	FALSE				0		FALSE	3/26/2026			3/26/2026			FALSE
Dry Load	FALSE		FALSE	FALSE				0		FALSE	3/26/2026			3/26/2026			FALSE
Return Items	FALSE		FALSE	FALSE				0		FALSE	3/27/2026			3/27/2026			FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Adhoc	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Wash Keegan Uniform	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash Jackets	FALSE		FALSE	FALSE				0		FALSE							FALSE
